ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION,,,,Pop Exist?,KML Districts,Refine
35005,Barrie--Springwater--Oro-Medonte,Barrie--Springwater--Oro-Medonte,100788,,TRUE,45,45,Thérèse-De Blainville,
35006,Bay of Quinte,Baie de Quinte,109735,,TRUE,47,47,Bourassa,
35007,Beaches--East York,Beaches--East York,109468,,TRUE,174,174,Nepean,
35008,Brampton Centre,Brampton-Centre,102270,,TRUE,208,#N/A,Scarborough-Sud-Ouest,
35009,Brampton East,Brampton-Est,122000,,TRUE,173,173,Mississauga--Streetsville,
35010,Brampton North,Brampton-Nord,118180,,TRUE,209,209,Simcoe--Grey,
35011,Brampton South,Brampton-Sud,121188,,TRUE,210,#N/A,Simcoe-Nord,
35012,Brampton West,Brampton-Ouest,130000,,TRUE,11,11,Malpeque,
35013,Brantford--Brant,Brantford--Brant,130296,,TRUE,229,229,York--Simcoe,
35014,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,107679,,TRUE,232,232,Brandon--Souris,
35015,Burlington,Burlington,123180,,TRUE,232,232,Brandon--Souris,
35016,Cambridge,Cambridge,115463,,TRUE,233,233,Charleswood--St. James--Assiniboia--Headingley,
35017,Chatham-Kent--Leamington,Chatham-Kent--Leamington,109619,,TRUE,234,234,Churchill--Keewatinook Aski,
35018,Davenport,Davenport,108473,,TRUE,235,235,Dauphin--Swan River--Neepawa,
35019,Don Valley East,Don Valley-Est,94579,,TRUE,248,#N/A,Desnethé--Missinippi--Rivière Churchill,
35020,Don Valley North,Don Valley-Nord,110076,,TRUE,250,250,Moose Jaw--Lake Centre--Lanigan,
35021,Don Valley West,Don Valley-Ouest,102508,,TRUE,251,251,Prince Albert,
35022,Dufferin--Caledon,Dufferin--Caledon,128237,,TRUE,252,252,Regina--Lewvan,
35023,Durham,Durham,130872,,FALSE,#N/A,#N/A,Regina--Qu&apos;Appelle,
35024,Eglinton--Lawrence,Eglinton--Lawrence,114395,,TRUE,254,254,Regina--Wascana,
35025,Elgin--Middlesex--London,Elgin--Middlesex--London,115052,,TRUE,255,255,Saskatoon--Grasswood,
35026,Essex,Essex,125442,,TRUE,249,#N/A,Sentier Carlton--Eagle Creek,
35027,Etobicoke Centre,Etobicoke-Centre,118022,,TRUE,60,60,Hochelaga,
35028,Etobicoke--Lakeshore,Etobicoke--Lakeshore,129081,,TRUE,59,59,Gatineau,
35029,Etobicoke North,Etobicoke-Nord,118040,,TRUE,61,61,Honoré-Mercier,
35030,Flamborough--Glanbrook,Flamborough--Glanbrook,111065,,TRUE,62,62,Hull--Aylmer,
35031,Glengarry--Prescott--Russell,Glengarry--Prescott--Russell,109975,,TRUE,63,63,Joliette,
35032,Guelph,Guelph,131794,,TRUE,67,67,Lac-Saint-Jean,
35033,Haldimand--Norfolk,Haldimand--Norfolk,109652,,TRUE,264,264,Calgary Confederation,
35034,Haliburton--Kawartha Lakes--Brock,Haliburton--Kawartha Lakes--Brock,113956,,TRUE,263,#N/A,Calgary-Centre,
35035,Hamilton Centre,Hamilton-Centre,100103,,TRUE,267,267,Calgary Midnapore,
35036,Hamilton East--Stoney Creek,Hamilton-Est--Stoney Creek,107848,,TRUE,270,270,Calgary Shepard,
35037,Hamilton Mountain,Hamilton Mountain,104877,,TRUE,236,236,Elmwood--Transcona,
35038,Hamilton West--Ancaster--Dundas,Hamilton-Ouest--Ancaster--Dundas,113024,,TRUE,239,239,Provencher,
35039,Hastings--Lennox and Addington,Hastings--Lennox and Addington,94333,,TRUE,240,#N/A,Saint-Boniface--Saint-Vital,
35040,Huron--Bruce,Huron--Bruce,106570,,TRUE,237,237,Kildonan--St. Paul,
35041,Kanata--Carleton,Kanata--Carleton,110960,,TRUE,238,238,Portage--Lisgar,
35042,Kenora,Kenora,62556,,TRUE,241,241,Selkirk--Interlake--Eastman,
35043,King--Vaughan,King--Vaughan,131995,,TRUE,241,241,Selkirk--Interlake--Eastman,
35044,Kingston and the Islands,Kingston et les Îles,117543,,TRUE,281,281,Foothills,
35045,Kitchener Centre,Kitchener-Centre,105258,,TRUE,256,256,Saskatoon--University,
35046,Kitchener--Conestoga,Kitchener--Conestoga,100709,,TRUE,257,#N/A,Saskatoon-Ouest,
35047,Kitchener South--Hespeler,Kitchener-Sud--Hespeler,105309,,TRUE,258,258,Souris--Moose Mountain,
35048,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,105331,,TRUE,259,259,Yorkton--Melville,
35049,Lanark--Frontenac--Kingston,Lanark--Frontenac--Kingston,101630,,TRUE,175,175,Newmarket--Aurora,
35050,Leeds-Grenville-Thousand Islands and Rideau Lakes,Leeds-Grenville-Thousand Islands et Rideau Lakes,100546,,TRUE,176,#N/A,Niagara-Centre,
35051,London--Fanshawe,London--Fanshawe,119467,,TRUE,241,241,Selkirk--Interlake--Eastman,
35052,London North Centre,London-Centre-Nord,125362,,TRUE,243,#N/A,Winnipeg-Nord,
35053,London West,London-Ouest,126110,,TRUE,241,241,Selkirk--Interlake--Eastman,
35054,Markham--Stouffville,Markham--Stouffville,126064,,TRUE,242,#N/A,Winnipeg-Centre,
35055,Markham--Thornhill,Markham--Thornhill,99078,,TRUE,244,#N/A,Winnipeg-Sud,
35056,Markham--Unionville,Markham--Unionville,123318,,TRUE,247,247,Cypress Hills--Grasslands,
35057,Milton,Milton,114093,,TRUE,66,66,La Prairie,
35058,Mississauga Centre,Mississauga-Centre,124849,,FALSE,#N/A,#N/A,La Pointe-de-l&apos;Île,
35059,Mississauga East--Cooksville,Mississauga-Est--Cooksville,120205,,TRUE,68,68,Lac-Saint-Louis,
35060,Mississauga--Erin Mills,Mississauga--Erin Mills,122560,,TRUE,69,69,LaSalle--Émard--Verdun,
35061,Mississauga--Lakeshore,Mississauga--Lakeshore,117444,,TRUE,177,177,Niagara Falls,
35062,Mississauga--Malton,Mississauga--Malton,118240,,TRUE,178,#N/A,Niagara-Ouest,
35063,Mississauga--Streetsville,Mississauga--Streetsville,118301,,TRUE,245,#N/A,Winnipeg-Centre-Sud,
35064,Nepean,Nepean,119110,,TRUE,265,265,Calgary Forest Lawn,
35065,Newmarket--Aurora,Newmarket--Aurora,117418,,TRUE,266,266,Calgary Heritage,
35066,Niagara Centre,Niagara-Centre,109067,,TRUE,71,71,Laurier--Sainte-Marie,
35067,Niagara Falls,Niagara Falls,136292,,TRUE,72,72,Laval--Les Îles,
35068,Niagara West,Niagara-Ouest,90838,,TRUE,136,136,Essex,
35069,Nickel Belt,Nickel Belt,93772,,TRUE,202,202,Sault Ste. Marie,
35070,Nipissing--Timiskaming,Nipissing--Timiskaming,88813,,TRUE,204,#N/A,Scarborough-Centre,
35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,112412,,TRUE,268,268,Calgary Nose Hill,
35072,Oakville,Oakville,120923,,TRUE,269,269,Calgary Rocky Ridge,
35073,Oakville North--Burlington,Oakville-Nord--Burlington,129078,,TRUE,137,#N/A,Etobicoke-Centre,
35074,Oshawa,Oshawa,126764,,TRUE,138,138,Etobicoke--Lakeshore,
35075,Ottawa Centre,Ottawa-Centre,118038,,TRUE,205,205,Scarborough--Guildwood,
35076,Orléans,Orléans,128281,,TRUE,206,#N/A,Scarborough-Nord,
35077,Ottawa South,Ottawa-Sud,121058,,TRUE,207,207,Scarborough--Rouge Park,
35078,Ottawa--Vanier,Ottawa--Vanier,111508,,TRUE,271,271,Calgary Signal Hill,
35079,Ottawa West--Nepean,Ottawa-Ouest--Nepean,111837,,TRUE,272,272,Calgary Skyview,
35080,Oxford,Oxford,113790,,TRUE,142,142,Guelph,
35081,Parkdale--High Park,Parkdale--High Park,108805,,TRUE,143,143,Haldimand--Norfolk,
35082,Parry Sound--Muskoka,Parry Sound--Muskoka,94398,,TRUE,144,144,Haliburton--Kawartha Lakes--Brock,
35083,Perth--Wellington,Perth--Wellington,107908,,TRUE,145,#N/A,Hamilton-Centre,
35084,Peterborough--Kawartha,Peterborough--Kawartha,118176,,TRUE,139,#N/A,Etobicoke-Nord,
35085,Pickering--Uxbridge,Pickering--Uxbridge,112947,,TRUE,146,#N/A,Hamilton-Est--Stoney Creek,
35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,103495,,TRUE,148,#N/A,Hamilton-Ouest--Ancaster--Dundas,
35087,Richmond Hill,Richmond Hill,110177,,TRUE,149,149,Hastings--Lennox and Addington,
35088,Carleton,Carleton,102918,,TRUE,150,150,Huron--Bruce,
35089,St. Catharines,St. Catharines,111691,,TRUE,152,152,Kenora,
35090,Toronto--St. Paul's,Toronto--St. Paul's,107900,,TRUE,153,153,King--Vaughan,
35091,Sarnia--Lambton,Sarnia--Lambton,105337,,TRUE,156,156,Kitchener--Conestoga,
35092,Sault Ste. Marie,Sault Ste. Marie,80371,,TRUE,158,158,Lambton--Kent--Middlesex,
35093,Scarborough--Agincourt,Scarborough--Agincourt,105542,,TRUE,159,159,Lanark--Frontenac--Kingston,
35094,Scarborough Centre,Scarborough-Centre,112603,,TRUE,183,#N/A,Oakville-Nord--Burlington,
35095,Scarborough--Guildwood,Scarborough--Guildwood,102386,,TRUE,185,#N/A,Ottawa-Centre,
35096,Scarborough North,Scarborough-Nord,98800,,TRUE,184,184,Oshawa,
35097,Scarborough--Rouge Park,Scarborough--Rouge Park,102275,,TRUE,190,190,Oxford,
35098,Scarborough Southwest,Scarborough-Sud-Ouest,110278,,TRUE,273,#N/A,Edmonton-Centre,
35099,Simcoe--Grey,Simcoe--Grey,129944,,TRUE,274,274,Edmonton Griesbach,
35100,Simcoe North,Simcoe-Nord,111332,,TRUE,147,147,Hamilton Mountain,
35101,Spadina--Fort York,Spadina--Fort York,115506,,TRUE,151,151,Kanata--Carleton,
35102,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,103320,,FALSE,#N/A,#N/A,Leeds--Grenville--Thousand Islands et Rideau Lakes,
35103,Sudbury,Sudbury,91532,,TRUE,164,164,Markham--Stouffville,
35104,Thornhill,Thornhill,112719,,TRUE,181,#N/A,Northumberland--Peterborough-Sud,
35105,Thunder Bay--Rainy River,Thunder Bay--Rainy River,82805,,TRUE,186,186,Orléans,
35106,Thunder Bay--Superior North,Thunder Bay--Supérieur-Nord,82651,,TRUE,187,#N/A,Ottawa-Sud,
35107,Timmins--James Bay,Timmins--Baie James,83257,,TRUE,191,191,Parkdale--High Park,
35108,Toronto Centre,Toronto-Centre,103805,,TRUE,276,276,Edmonton Mill Woods,
35109,Toronto--Danforth,Toronto--Danforth,106875,,TRUE,277,277,Edmonton Riverbend,
35110,University--Rosedale,University--Rosedale,104311,,TRUE,275,275,Edmonton Manning,
35111,Vaughan--Woodbridge,Vaughan--Woodbridge,105228,,TRUE,280,280,Edmonton--Wetaskiwin,
35112,Waterloo,Waterloo,110134,,TRUE,113,113,Aurora--Oak Ridges--Richmond Hill,
35113,Wellington--Halton Hills,Wellington--Halton Hills,120981,,TRUE,114,114,Barrie--Innisfil,
35114,Whitby,Whitby,128377,,TRUE,115,115,Barrie--Springwater--Oro-Medonte,
35115,Willowdale,Willowdale,118801,,TRUE,116,#N/A,Baie de Quinte,
35116,Windsor--Tecumseh,Windsor--Tecumseh,117429,,TRUE,117,117,Beaches--East York,
35117,Windsor West,Windsor-Ouest,122988,,TRUE,122,#N/A,Brampton-Ouest,
35118,York Centre,York-Centre,104319,,TRUE,124,124,Bruce--Grey--Owen Sound,
35119,York--Simcoe,York--Simcoe,104010,,TRUE,118,#N/A,Brampton-Centre,
35120,York South--Weston,York-Sud--Weston,116686,,TRUE,121,#N/A,Brampton-Sud,
35121,Humber River--Black Creek,Humber River--Black Creek,108037,,TRUE,4,4,Labrador,
46001,Brandon--Souris,Brandon--Souris,88170,,TRUE,3,3,Coast of Bays--Central--Notre Dame,
46002,Charleswood--St. James--Assiniboia--Headingley,Charleswood--St. James--Assiniboia--Headingley,82574,,TRUE,5,5,Long Range Mountains,
46003,Churchill--Keewatinook Aski,Churchill--Keewatinook Aski,87027,,FALSE,#N/A,#N/A,St. John&apos;s-Est,
46004,Dauphin--Swan River--Neepawa,Dauphin--Swan River--Neepawa,87527,,FALSE,#N/A,#N/A,St. John&apos;s-Sud--Mount Pearl,
46005,Elmwood--Transcona,Elmwood--Transcona,92738,,TRUE,119,#N/A,Brampton-Est,
46006,Kildonan--St. Paul,Kildonan--St. Paul,84077,,TRUE,120,#N/A,Brampton-Nord,
46007,Portage--Lisgar,Portage--Lisgar,97354,,TRUE,123,123,Brantford--Brant,
46008,Provencher,Provencher,99946,,TRUE,125,125,Burlington,
46009,Saint Boniface--Saint Vital,Saint-Boniface--Saint-Vital,89818,,TRUE,324,#N/A,Steveston--Richmond-Est,
46010,Selkirk--Interlake--Eastman,Selkirk--Interlake--Eastman,94778,,TRUE,325,#N/A,Surrey-Centre,
